Area_m2,YearBuilt,Furnished,Renovated,Location,PropertyType,HasBasement,ParkingSpaces,Bedrooms,Bathrooms,Condition,Price
107.0,2006.0,Yes,No,Novi Beograd,Stan,No,2.0,4,1,Good,258900
64.9,1991.0,Yes,No,Predgradje,Stan,No,1.0,4,1,Fair,79200
44.5,1974.0,No,No,Zemun,Studio,Yes,1.0,2,3,Fair,63400
68.1,1990.0,No,No,Zemun,Stan,No,1.0,3,2,Good,128700
51.2,1990.0,No,Yes,Centar,Studio,Yes,0.0,1,2,Good,110700
49.6,1952.0,No,Yes,Centar,Stan,Yes,0.0,1,2,Excellent,153000
75.8,1992.0,No,No,Centar,Studio,No,0.0,2,2,Poor,115400
24.9,1995.0,No,No,Periferia,Studio,No,1.0,4,2,Good,29200
28.9,2006.0,Yes,Yes,Zemun,Stan,Yes,2.0,3,2,Good,82200
65.5,,No,No,Zemun,Stan,Yes,2.0,3,2,Good,135100
64.4,2000.0,Yes,Yes,Centar,Stan,No,0.0,2,3,Excellent,208100
73.6,1954.0,No,No,Predgradje,Kuca,Yes,2.0,2,1,Good,89900
111.9,2022.0,No,No,Periferia,Kuca,No,,2,1,Excellent,212200
67.6,1964.0,No,No,Novi Beograd,Kuca,Yes,0.0,3,1,Fair,148800
80.0,1988.0,No,No,Centar,Stan,Yes,2.0,1,2,Good,204000
40.6,2019.0,Yes,Yes,Centar,Stan,No,0.0,3,1,Poor,84500
84.2,1987.0,Yes,Yes,Novi Beograd,Stan,No,0.0,4,3,Poor,140900
51.8,1988.0,No,No,Vracar,Stan,No,0.0,4,1,Fair,99600
66.8,2001.0,Yes,Yes,Vracar,Kuca,No,1.0,4,1,Fair,175200
62.3,1952.0,No,No,Novi Beograd,Studio,Yes,0.0,2,1,Fair,92500
90.8,1978.0,Yes,No,Zemun,Kuca,No,2.0,4,2,Fair,191500
32.3,1980.0,No,No,Centar,Stan,No,1.0,4,2,Poor,54200
20.0,2015.0,,Yes,Novi Beograd,Vila,No,1.0,4,1,Excellent,87700
59.7,1994.0,Yes,Yes,Novi Beograd,Kuca,No,0.0,4,2,Poor,128600
76.7,2022.0,No,No,Vracar,Vila,Yes,2.0,4,1,,267800
68.8,1971.0,No,Yes,Periferia,Kuca,Yes,1.0,2,2,Fair,110900
95.8,,Yes,No,Centar,Stan,No,1.0,1,2,Excellent,282400
75.9,1970.0,No,No,Vracar,Stan,Yes,2.0,3,3,Excellent,212900
